³ë¼±¹øÈ£,°­³²±¸,°­µ¿±¸,°­ºÏ±¸,°­¼­±¸,°ü¾Ç±¸,±¤Áø±¸,±¸·Î±¸,±ÝÃµ±¸,³ë¿ø±¸,µµºÀ±¸,µ¿´ë¹®±¸,µ¿ÀÛ±¸,¸¶Æ÷±¸,¼­´ë¹®±¸,¼­ÃÊ±¸,¼ºµ¿±¸,¼ººÏ±¸,¼ÛÆÄ±¸,¾çÃµ±¸,¿µµîÆ÷±¸,¿ë»ê±¸,ÀºÆò±¸,Á¾·Î±¸,Áß±¸,Áß¶û±¸,00½Ã½ÂÂ÷ÃÑ½Â°´¼ö,1½Ã½ÂÂ÷ÃÑ½Â°´¼ö,2½Ã½ÂÂ÷ÃÑ½Â°´¼ö,3½Ã½ÂÂ÷ÃÑ½Â°´¼ö,4½Ã½ÂÂ÷ÃÑ½Â°´¼ö,5½Ã½ÂÂ÷ÃÑ½Â°´¼ö,6½Ã½ÂÂ÷ÃÑ½Â°´¼ö,7½Ã½ÂÂ÷ÃÑ½Â°´¼ö,8½Ã½ÂÂ÷ÃÑ½Â°´¼ö,9½Ã½ÂÂ÷ÃÑ½Â°´¼ö,10½Ã½ÂÂ÷ÃÑ½Â°´¼ö,11½Ã½ÂÂ÷ÃÑ½Â°´¼ö,12½Ã½ÂÂ÷ÃÑ½Â°´¼ö,13½Ã½ÂÂ÷ÃÑ½Â°´¼ö,14½Ã½ÂÂ÷ÃÑ½Â°´¼ö,15½Ã½ÂÂ÷ÃÑ½Â°´¼ö,16½Ã½ÂÂ÷ÃÑ½Â°´¼ö,17½Ã½ÂÂ÷ÃÑ½Â°´¼ö,18½Ã½ÂÂ÷ÃÑ½Â°´¼ö,19½Ã½ÂÂ÷ÃÑ½Â°´¼ö,20½Ã½ÂÂ÷ÃÑ½Â°´¼ö,21½Ã½ÂÂ÷ÃÑ½Â°´¼ö,22½Ã½ÂÂ÷ÃÑ½Â°´¼ö,23½Ã½ÂÂ÷ÃÑ½Â°´¼ö,ÃÑ½ÂÂ÷½Â°´¼ö,Áö³ª´Â Áö¿ª±¸ °ÅÁÖ¹Î Æò±Õ (¹Ý¿Ã¸²),Áö³ª´Â Áö¿ª±¸ °ÅÁÖ¹Î ÇÕ,³ë¼±º° °ãÄ¡´Â ³ë¼± ¼ö,È¯½Â ºñÀ² ÃÑ ½Â°´¼ö,ÃÑ½Â°´¼ö/°Å¸®
120 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1454 ,1 ,0 ,0 ,2224 ,9499 ,14033 ,29190 ,41940 ,29631 ,26506 ,27137 ,30469 ,33387 ,34472 ,38528 ,42479 ,43480 ,47068 ,39082 ,26829 ,25280 ,24527 ,10083 ,577299 ,368134 ,1104402 ,38 ,886484 ,17441 
121 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,138 ,0 ,0 ,0 ,4233 ,6581 ,10858 ,23723 ,27347 ,18602 ,15311 ,15105 ,17311 ,18751 ,18884 ,21874 ,25247 ,25724 ,29768 ,22952 ,17347 ,14420 ,13602 ,3455 ,351233 ,350706 ,1402823 ,27 ,294940 ,10429 
130 ,0 ,1 ,1 ,0 ,0 ,1 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3749 ,110 ,0 ,0 ,4863 ,18639 ,26669 ,53480 ,67490 ,44570 ,35593 ,35693 ,39206 ,42238 ,44754 ,48473 ,52083 ,55438 ,62371 ,47989 ,36039 ,34646 ,34283 ,14882 ,803258 ,364512 ,2551581 ,24 ,1188158 ,16494 
140 ,1 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,0 ,0 ,1 ,0 ,1 ,1 ,0 ,4484 ,315 ,0 ,0 ,6310 ,8582 ,15571 ,37241 ,50794 ,34741 ,26844 ,25589 ,28188 ,29349 ,30003 ,35243 ,37964 ,45342 ,51675 ,33724 ,25175 ,25804 ,26323 ,10058 ,589319 ,321730 ,2573836 ,60 ,2902959 ,10143 
141 ,1 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,1 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1420 ,44 ,0 ,0 ,7614 ,11410 ,16835 ,32155 ,36709 ,26003 ,22626 ,22251 ,25241 ,26747 ,27163 ,29683 ,32182 ,34449 ,38786 ,28116 ,22592 ,20882 ,19347 ,6345 ,488600 ,384459 ,2691216 ,28 ,1219145 ,9031 
142 ,1 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,0 ,0 ,1 ,0 ,0 ,1 ,0 ,4016 ,377 ,16 ,0 ,6986 ,9321 ,16120 ,38324 ,49117 ,37683 ,29138 ,28165 ,30873 ,31242 ,31709 ,35673 ,41006 ,43513 ,49504 ,34519 ,27058 ,27731 ,28102 ,11061 ,611254 ,345324 ,2417269 ,50 ,1917295 ,10290 
143 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,0 ,0 ,1 ,0 ,1 ,1 ,0 ,2545 ,184 ,0 ,0 ,8639 ,12109 ,21854 ,58063 ,77638 ,53988 ,39239 ,40159 ,47515 ,50069 ,51319 ,57399 ,66087 ,70644 ,79635 ,56275 ,43623 ,43509 ,44209 ,10110 ,934812 ,323758 ,1942547 ,73 ,1565777 ,14426 
144 ,1 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,0 ,0 ,1 ,0 ,1 ,1 ,0 ,4220 ,170 ,0 ,0 ,2782 ,10201 ,13699 ,31950 ,46311 ,33366 ,27245 ,27537 ,30217 ,31108 ,31279 ,32370 ,36954 ,42021 ,45026 ,33452 ,25815 ,25671 ,26817 ,11399 ,569610 ,325332 ,2602654 ,58 ,1139723 ,11675 
145 ,1 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1752 ,6 ,0 ,0 ,8922 ,11631 ,16285 ,33153 ,43095 ,29520 ,19472 ,18192 ,21151 ,23103 ,24985 ,28829 ,32809 ,37339 ,45008 ,33798 ,23917 ,23582 ,26016 ,8469 ,511034 ,388472 ,1942361 ,33 ,517100 ,11207 
146 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,9976 ,2161 ,31 ,0 ,12283 ,17281 ,22627 ,40436 ,54336 ,41233 ,31381 ,32177 ,36198 ,37977 ,38063 ,41925 ,45032 ,46488 ,53485 ,42203 ,33317 ,32322 ,32529 ,16188 ,719649 ,416149 ,2080743 ,21 ,201911 ,12581 
147 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1446 ,0 ,0 ,0 ,6719 ,11223 ,20886 ,49815 ,71001 ,50744 ,32333 ,28735 ,30769 ,32782 ,33138 ,36190 ,39748 ,47614 ,58620 ,44204 ,31250 ,30274 ,30659 ,10190 ,698340 ,431410 ,2157049 ,32 ,414747 ,15175 
148 ,1 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,1 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1984 ,22 ,0 ,0 ,12122 ,11681 ,14011 ,28075 ,38851 ,25228 ,20245 ,20223 ,23147 ,25160 ,26511 ,29046 ,33061 ,33588 ,38756 ,28040 ,20478 ,20699 ,22895 ,8221 ,482044 ,394577 ,2367464 ,42 ,1189559 ,10808 
150 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,0 ,1 ,0 ,0 ,1 ,1 ,0 ,1 ,1 ,0 ,5029 ,1194 ,5 ,0 ,8259 ,7737 ,17274 ,47872 ,62792 ,38025 ,28539 ,28873 ,30475 ,32789 ,34203 ,39577 ,46438 ,55804 ,68554 ,43166 ,29923 ,30972 ,31440 ,10481 ,699421 ,297385 ,2973848 ,67 ,3193321 ,9351 
151 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,1 ,0 ,1 ,1 ,0 ,2010 ,51 ,0 ,0 ,7386 ,8454 ,14208 ,29725 ,35874 ,24440 ,20600 ,21983 ,25047 ,26015 ,27317 ,31411 ,34487 ,34946 ,34344 ,23618 ,19053 ,17927 ,17685 ,6484 ,463065 ,280608 ,1683648 ,66 ,2282129 ,9786 
152 ,0 ,0 ,1 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,1 ,0 ,0 ,1 ,0 ,6025 ,1365 ,2 ,0 ,12429 ,13611 ,28755 ,65482 ,73076 ,50139 ,41260 ,40424 ,43210 ,44247 ,45466 ,50729 ,56320 ,59569 ,69317 ,51292 ,40432 ,38891 ,39506 ,15100 ,886647 ,340542 ,2383791 ,72 ,1703057 ,13761 
153 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,1 ,1 ,0 ,0 ,1 ,0 ,0 ,1 ,0 ,0 ,1 ,0 ,0 ,3814 ,542 ,0 ,0 ,6435 ,11004 ,19658 ,54096 ,62641 ,45932 ,34792 ,36077 ,38689 ,40994 ,43366 ,48364 ,56957 ,65100 ,69187 ,47412 ,36950 ,38283 ,37869 ,11640 ,809802 ,341307 ,2730456 ,55 ,1181528 ,12165 
160 ,0 ,0 ,1 ,0 ,0 ,0 ,1 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,1 ,1 ,0 ,1 ,1 ,0 ,7058 ,1129 ,2 ,0 ,7898 ,9024 ,24590 ,56973 ,75038 ,48926 ,36401 ,38534 ,40274 ,42175 ,44103 ,52712 ,61526 ,69669 ,79015 ,52697 ,40113 ,39748 ,38748 ,13153 ,879506 ,304868 ,2438940 ,55 ,2759650 ,12582 
162 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,1 ,1 ,0 ,1 ,1 ,0 ,1108 ,0 ,0 ,0 ,6947 ,8080 ,12887 ,30225 ,39985 ,24701 ,19611 ,20175 ,20723 ,21992 ,22475 ,25026 ,26809 ,30681 ,33635 ,22405 ,18223 ,18804 ,17746 ,5637 ,427875 ,276195 ,1380976 ,60 ,1036683 ,11349 
171 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,1 ,1 ,0 ,1355 ,9 ,0 ,0 ,6340 ,7500 ,11022 ,26382 ,33226 ,22027 ,17062 ,17394 ,19303 ,20391 ,21385 ,24050 ,29007 ,31788 ,33411 ,21985 ,17304 ,18954 ,18898 ,5856 ,404649 ,286320 ,1431600 ,53 ,1142946 ,8919 
172 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,1 ,1 ,0 ,1442 ,44 ,0 ,0 ,6991 ,5699 ,11246 ,22321 ,25806 ,18133 ,14278 ,15297 ,17932 ,18149 ,18508 ,21636 ,24540 ,26682 ,27752 ,20475 ,16501 ,17241 ,17066 ,4680 ,352419 ,325638 ,1953825 ,59 ,1253525 ,7498 
173 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,1 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1972 ,102 ,0 ,0 ,5158 ,6039 ,8496 ,18191 ,23114 ,17019 ,13898 ,14341 ,15362 ,15766 ,15827 ,17422 ,19070 ,20500 ,22597 ,16571 ,11509 ,12333 ,12706 ,5334 ,293327 ,312347 ,1249387 ,50 ,417644 ,6790 
201 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,1 ,4221 ,1939 ,140 ,0 ,3086 ,4600 ,7769 ,14169 ,19940 ,12497 ,11607 ,12258 ,12663 ,14321 ,15051 ,16882 ,17693 ,19882 ,19699 ,13966 ,10148 ,10401 ,10236 ,5675 ,258843 ,294362 ,883085 ,54 ,1119953 ,5007 
202 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,1 ,903 ,0 ,0 ,0 ,4392 ,11556 ,19835 ,44582 ,50601 ,33358 ,28610 ,29130 ,32213 ,33897 ,33147 ,35094 ,38598 ,40801 ,44144 ,34045 ,25627 ,24886 ,22745 ,7002 ,595166 ,351328 ,1405310 ,51 ,774523 ,11208 
240 ,1 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,1960 ,10 ,0 ,0 ,4884 ,6337 ,8377 ,14901 ,20685 ,16404 ,11786 ,12459 ,13973 ,15463 ,16605 ,17496 ,18535 ,20233 ,24372 ,20880 ,16223 ,14706 ,14716 ,5538 ,296543 ,429410 ,1717639 ,25 ,162489 ,7094 
241 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,1 ,2500 ,241 ,0 ,0 ,2230 ,7113 ,11670 ,30343 ,35599 ,22805 ,17242 ,17095 ,19026 ,20695 ,20581 ,23367 ,27298 ,29583 ,34995 ,25859 ,18139 ,19009 ,21079 ,8124 ,414593 ,343247 ,1716237 ,39 ,607213 ,8129 
242 ,1 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,1479 ,26 ,0 ,0 ,3482 ,5464 ,7770 ,16515 ,21164 ,13980 ,8598 ,8348 ,9184 ,9936 ,10895 ,12643 ,14094 ,15400 ,20494 ,15655 ,11503 ,11306 ,12526 ,5172 ,235634 ,430845 ,1292536 ,22 ,88045 ,5013 
260 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,1 ,1 ,1607 ,21 ,0 ,0 ,10381 ,9888 ,14119 ,28511 ,37031 ,23694 ,21608 ,24066 ,26375 ,27248 ,27058 ,28621 ,30749 ,34383 ,39198 ,25108 ,18357 ,17358 ,15422 ,5149 ,465952 ,305898 ,1529491 ,51 ,1396174 ,8775 
261 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,1 ,1 ,0 ,0 ,1 ,0 ,2952 ,102 ,0 ,0 ,6903 ,8453 ,15830 ,41091 ,50645 ,30833 ,25594 ,26786 ,26958 ,28819 ,29796 ,31000 ,33716 ,37318 ,43484 ,32806 ,23028 ,21280 ,20288 ,7244 ,544926 ,315396 ,1576979 ,59 ,1001361 ,10340 
262 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,1 ,1 ,2127 ,51 ,0 ,0 ,5793 ,7551 ,13525 ,38017 ,45089 ,30744 ,27469 ,29691 ,32933 ,35624 ,37404 ,40576 ,44769 ,45754 ,48370 ,35639 ,25546 ,24838 ,21058 ,5988 ,598556 ,305898 ,1529491 ,65 ,1226090 ,10824 
270 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,1 ,2099 ,12 ,0 ,0 ,4883 ,8673 ,11943 ,27492 ,34666 ,22520 ,19779 ,21780 ,24023 ,25213 ,25278 ,26885 ,29211 ,32267 ,37411 ,23118 ,15519 ,15711 ,15035 ,6412 ,429930 ,316023 ,1580115 ,55 ,1613883 ,8447 
271 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,1001 ,45 ,0 ,0 ,762 ,1639 ,2166 ,5201 ,7576 ,5492 ,4902 ,5202 ,5642 ,6116 ,6535 ,7048 ,7449 ,7858 ,8565 ,6121 ,4434 ,4499 ,4580 ,1588 ,104421 ,320595 ,1602974 ,56 ,1424616 ,1971 
272 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,1 ,1 ,1748 ,3 ,0 ,0 ,5539 ,13715 ,25074 ,49686 ,63908 ,43664 ,36230 ,35689 ,40519 ,43453 ,44559 ,49061 ,54121 ,59125 ,62141 ,44319 ,33147 ,34783 ,31766 ,8773 ,781023 ,289447 ,1736682 ,61 ,1149867 ,16796 
273 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,1 ,1 ,1771 ,35 ,0 ,0 ,3545 ,5801 ,11308 ,31234 ,43835 ,26367 ,22075 ,24215 ,28411 ,30496 ,31255 ,35793 ,39850 ,44569 ,48712 ,32864 ,25888 ,29425 ,28280 ,7305 ,553034 ,283574 ,1417868 ,59 ,1115809 ,12569 
301 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,1 ,0 ,1308 ,1 ,0 ,0 ,2798 ,8892 ,13808 ,33695 ,49527 ,35577 ,25636 ,24951 ,27512 ,29659 ,29063 ,32110 ,36651 ,39186 ,46792 ,33361 ,26799 ,28078 ,27757 ,7145 ,560306 ,359070 ,1795349 ,47 ,485883 ,11637 
302 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2720 ,997 ,2 ,0 ,2555 ,4459 ,8898 ,24024 ,35954 ,21720 ,15018 ,15025 ,16243 ,16761 ,16550 ,18869 ,22000 ,28679 ,32543 ,21119 ,15488 ,15756 ,16793 ,7503 ,359676 ,440576 ,1321727 ,17 ,223539 ,6485 
303 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3999 ,578 ,0 ,0 ,6130 ,12431 ,21987 ,50356 ,74895 ,49271 ,35006 ,32736 ,33775 ,34188 ,32619 ,37219 ,47120 ,58535 ,68679 ,44017 ,35040 ,34621 ,32510 ,11644 ,757356 ,458625 ,1375876 ,18 ,312655 ,13874 
